"Mean biomass (tons), excluding first ages specified in input"
"Time","smallpelagic1","macrozooplankton","demersal1","demersal2","demersal3","mesopelagic","smallpelagic2","smallpelagic3","largepelagic1","largepelagic2"
140.25,88014.94,458015.28,1312317.6,1398251.5,152510.73,485712.84,952079.94,410087.94,82.178276,0.0
140.5,73827.805,1080379.2,1289330.2,1404026.0,152197.44,581473.6,918959.44,400480.22,81.84258,0.0
140.75,81319.21,1014045.6,1230843.0,1355546.1,141813.8,534829.6,886339.75,392839.56,81.3145,0.0
141.0,90878.02,516657.2,1204524.6,1307643.6,139473.84,441915.12,928565.25,414857.34,78.8992,0.0
141.25,78124.36,483440.53,1278976.2,1372342.0,147539.69,500272.56,916925.7,386249.6,78.16381,0.0
141.5,67598.09,1126724.0,1302126.1,1406084.9,176288.22,592335.44,868868.2,403132.53,77.803276,0.0
141.75,76711.76,1068353.8,1267326.4,1340331.8,182593.19,536119.75,825669.2,424263.47,76.18134,0.0
142.0,81875.12,509428.72,1212864.9,1327049.0,191025.9,435968.47,854716.6,465273.38,75.95658,0.0
142.25,75573.88,551051.7,1253936.2,1393726.6,191063.44,485442.94,881505.8,460515.7,76.83023,0.0
142.5,76372.984,1103978.8,1234927.4,1445476.0,185186.6,653023.44,886666.0,461782.8,77.294395,0.0
142.75,106632.81,981585.1,1170056.9,1434098.8,180853.86,606009.7,861366.94,479947.2,77.13575,0.0
143.0,141098.3,537281.1,1129815.9,1400993.9,182768.22,574368.9,927292.44,534126.9,75.93834,0.0
143.25,136213.2,485803.88,1159572.5,1477037.8,188617.11,602852.06,939755.0,507158.84,74.67696,0.0
143.5,127724.49,996605.5,1158556.9,1502383.5,185883.81,687693.25,958034.7,550740.1,74.59903,0.0
143.75,135550.61,973757.0,1106752.4,1449431.2,182234.25,578135.94,944157.3,559905.1,73.70663,0.0
144.0,140667.4,472831.3,1073998.9,1389390.4,189483.22,428079.28,995435.9,609472.06,72.25362,0.0
144.25,128293.1,481798.66,1120486.8,1497861.6,193600.73,427960.62,1018023.56,593873.8,71.34562,0.0
144.5,113991.24,1083655.2,1154297.4,1555456.6,199263.27,562450.56,1019441.0,634362.6,72.55811,0.0
144.75,120718.125,946540.25,1117959.2,1499105.8,203911.27,515887.94,1014464.8,628721.4,72.116196,0.0
145.0,125962.26,453087.8,1070577.2,1477333.0,206438.34,467549.28,1074227.6,634256.7,71.01893,0.0
145.25,110716.82,479812.06,1122231.8,1544299.5,210446.0,577650.94,1017904.0,583438.9,71.13752,0.0
145.5,93049.375,1020941.3,1153135.6,1560443.8,198700.22,717798.75,936861.44,569399.06,71.18568,0.0
145.75,118204.98,934012.2,1105120.5,1514630.1,180246.5,588454.25,877419.56,565818.25,71.50195,0.0
146.0,157375.58,437263.44,1102424.8,1454863.5,177719.92,457973.5,895976.9,601593.0,71.29068,0.0
146.25,159097.19,451141.78,1151234.0,1536906.4,177580.88,490621.28,894771.06,551641.56,70.73015,0.0
146.5,136652.55,1108140.5,1171115.9,1563448.6,185427.67,638928.9,833295.56,486644.0,69.36861,0.0
146.75,137604.33,1082558.0,1138108.4,1494452.9,180795.52,520564.53,768622.06,458915.8,68.77446,0.0
147.0,139280.12,493894.2,1138895.0,1431675.6,182607.08,422104.4,795234.6,470531.5,67.65911,0.0
147.25,121483.734,383179.6,1277216.4,1497547.5,199545.23,481090.5,800769.1,418288.53,67.460396,0.0
147.5,119853.37,1069208.8,1350491.8,1611470.4,215465.62,619233.5,745049.8,376772.78,67.83017,0.0
147.75,148199.83,1059694.6,1316904.1,1581284.4,219735.9,555785.0,697828.56,350820.7,66.29174,0.0
148.0,163263.22,503334.94,1285807.6,1575241.9,222744.56,423121.72,743224.94,360698.8,64.465096,0.0
148.25,153794.98,466489.38,1372063.2,1686896.1,220214.1,450789.12,729498.6,322039.66,63.591366,0.0
148.5,131303.73,971618.25,1417940.5,1716503.8,215016.02,508865.4,705285.75,305215.84,63.79387,0.0
